"model","site","f.t.opt","f.t.opt.05","f.t.opt.95","f.extract","f.extract.05","f.extract.95","f.sec","f.sec.05","f.sec.95","f.growth","f.growth.05","f.growth.95","q","q.05","q.95","q.s","q.s.05","q.s.95"
"v1.1","Bis",22.7274409370464,22.2946159703283,23.1588443093195,0.0806682180362341,0.0208067932791986,0.121967144622449,0.0181334436379623,0.0103592833554663,0.0333289695021621,0.0365202576946105,0.0225517434789972,0.0590406048412684,3.90139100762562,0.212980664831293,12.6238995905135,5.31003075159046,0.9778185173062,13.2985341687095
"v1.1","Luc",23.1013671089705,22.0491665861075,24.1330618466675,0.171304542586753,0.124509842255121,0.283678939430239,0.0111457064127329,0.0100543552597705,0.0136194392474055,0.058453207991076,0.0388356109776148,0.0803685824564037,3.59416980793313,0.137021015499166,11.3916204116151,2.60152157996727,0.201849035453778,7.41533563334145
"v1.1","Dig",22.6867868920175,22.1805104689611,23.1860933202915,0.0972610895755199,0.0117374235265011,0.167903500297219,0.0191771833424851,0.0103333987489447,0.0367725200238546,0.0375400123499586,0.0237928902401346,0.0629107388796337,3.73702513567123,0.208480424631441,13.5323952205067,2.31779749703297,0.382273238309033,11.9658879373413
"v1.1","Kan",23.9860804388249,23.5305568833738,24.3708218043896,0.0140449216058023,0.0100900057632887,0.0290848327553373,0.335909226323025,0.0105793849965542,0.495294194361721,0.0234663420659275,0.0165714153548461,0.0365944746076985,1.80556481471264,0.240644008473702,6.83215004413389,5.59645492849866,0.636690869892061,11.70724914775
"v1.1","Rho",25.9644994315197,24.2145874923366,27.2586773005557,0.0128886763587488,0.0100723816169611,0.0267479614163374,0.0790773066190762,0.012057075741359,0.438405006355099,0.0403830807522882,0.0323614482203898,0.0525012022066248,4.27840511075161,0.396782673586233,11.3356298033665,1.29003498174914,0.112675065493237,4.96944104125846
"v1.1","Fes",22.4561855148826,22.0928208861117,22.816439664602,0.0243804560236211,0.0103495704490006,0.0867336758011244,0.0376268442921106,0.0102177916265878,0.0967055859708449,0.0309930997401388,0.0182658048054358,0.0453526310856949,0.701750588128929,0.117848696640363,2.28102994952867,1.69326214152228,0.109611578973018,6.58375612160846
"v1.1","Pha",24.0383531223452,23.0330925434304,25.5129232477904,0.014943030197894,0.0102016772199577,0.0261821074684677,0.0212234173248111,0.0100469999955336,0.0868221851246106,0.0186026304100865,0.0102134248535389,0.0334437693259588,1.98865424358741,0.210205895734012,5.72889751500848,0.83106637213095,0.110839724423185,2.67710402832133
"v1.1","Rye",22.6981475905871,21.8018898340881,23.5842477847189,0.0219074103196438,0.0102009101152684,0.0672649754507517,0.0175134531071695,0.0109436828521424,0.0320239255437959,0.0336635186110328,0.0235151408941355,0.0460243691040223,4.6220254504497,0.302689724767426,12.3925483199042,0.275586597550641,0.106035359669478,0.974477584303914
"v1.1","ym",26.2869429877277,25.6783329489331,26.7785890373909,0.131002171838148,0.0828681742182881,0.183807031638531,0.0117257650564023,0.0100026487904072,0.0146112341089205,0.222787751040572,0.0943991885489876,0.494262755529981,0.619828205458221,0.134577840035509,1.56422014413768,5.11474559836554,2.24594377641391,13.2626312408814
"v1.1","flux",33.2255557968784,32.7436052080642,33.5196947264818,0.0106236906117602,0.0100042011963469,0.0124857098200542,0.0649708278368493,0.0413174239140516,0.0811331865299439,0.112500354364224,0.0875992050350433,0.149527711563802,0.201767450259873,0.103660116845309,0.461370158252742,5.30925950322765,3.06040866149314,9.05225886050203
