"Species","SubPlotID","Temperature","Water","Depth","Soil..total.wt..","Soil_moisture","Dry_Root","Dry_soil","Moisture....","Dry_soil_total","Root_mass.g.g.","Root_mass..mg.g.","Shelter","rooting_depth","Dry_Root_cum","root_biomass_total","beta","rooting.depth.cal"
"Pha","S1P2A","Amb","Con","10_20",1297.6,40.32,1.091,39.369,2.358630952,1266.994405,0.000861093,0.86109299,"S1",20,2.665,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S2P8B","Amb","Con","0_10",1036.2,29.37,0.769,28.718,2.219952332,1013.196854,0.000758984,0.758983802,"S2",10,0.769,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S2P8B","Amb","Con","10_20",1258,38.33,0.55,37.651,1.771458388,1235.715053,0.000445086,0.445086429,"S2",20,1.319,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S3P1C","Amb","Con","0_10",980.7,34.24,1.347,33.768,1.378504673,967.1810047,0.001392707,1.392707253,"S3",10,1.347,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S3P1C","Amb","Con","10_20",1269,30.92,0.507,30.116,2.600258732,1236.002717,0.000410193,0.410193273,"S3",20,1.854,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S4P1A","Amb","Con","0_10",993.6,26.95,1.003,26.321,2.333951763,970.4098553,0.001033584,1.033583897,"S4",10,1.003,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S4P1A","Amb","Con","10_20",1111.9,41.88,0.904,40.717,2.776981853,1081.022739,0.000836245,0.836245129,"S4",20,1.907,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S5P8C","Amb","Con","0_10",1010,35.81,0.776,35.128,1.904495951,990.7645909,0.000783233,0.783233482,"S5",10,0.776,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S5P8C","Amb","Con","10_20",1202.1,39.49,0.24,38.849,1.623195746,1182.587564,0.000202945,0.202944803,"S5",20,1.016,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S6P1A","Amb","Con","0_10",993.6,28.78,0.455,28.123,2.282835302,970.9177484,0.000468629,0.46862878,"S6",10,0.455,2.42695130427877,0.949114753859336,57.3614123042191
"Pha","S6P1A","Amb","Con","10_20",1125.8,33.73,0.222,33.27,1.363771124,1110.446665,0.00019992,0.199919552,"S6",20,0.677,2.42695130427877,0.949114753859336,57.3614123042191
"PhaSub","S1P3A","Amb","Drt","0_10",1000.8,40.54,0.681,39.574,2.382831771,976.9526196,0.000697066,0.697065535,"S1",10,0.681,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S1P3A","Amb","Drt","10_20",1394.4,37.98,0.601,36.833,3.020010532,1352.288973,0.000444432,0.444431635,"S1",20,1.282,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S1P5D","eT","Drt","0_10",983.8,47.86,0.906,46.871,2.066443794,963.470326,0.000940351,0.940350705,"S1",10,0.906,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S1P5D","eT","Drt","10_20",1285.8,34.07,0.727,33.18,2.612268858,1252.211447,0.000580573,0.580572875,"S1",20,1.633,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S2P3A","eT","Drt","0_10",966.8,24.26,0.657,23.87,1.607584501,951.257873,0.000690664,0.690664455,"S2",10,0.657,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S2P3A","eT","Drt","10_20",1413.5,30.39,0.373,29.696,2.283645936,1381.220665,0.000270051,0.270050984,"S2",20,1.03,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S2P4B","Amb","Drt","0_10",1001.3,38.87,1.092,38.088,2.01183432,981.155503,0.001112973,1.112973424,"S2",10,1.092,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S2P4B","Amb","Drt","10_20",1195.7,43.6,0.573,42.533,2.447247706,1166.438259,0.000491239,0.491239031,"S2",20,1.665,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S3P5A","eT","Drt","0_10",1010.2,28.28,0.609,27.724,1.966053748,990.338925,0.000614941,0.614940991,"S3",10,0.609,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S3P5A","eT","Drt","10_20",1396.8,29.37,0.599,28.661,2.41402792,1363.080858,0.000439446,0.439445684,"S3",20,1.208,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S3P6A","Amb","Drt","0_10",953.8,41.51,0.8,40.347,2.801734522,927.0770561,0.000862927,0.862927191,"S3",10,0.8,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S3P6A","Amb","Drt","10_20",1306.4,32.06,0.57,31.147,2.847785402,1269.196532,0.000449103,0.449103024,"S3",20,1.37,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S4P4A","Amb","Drt","0_10",860.1,24.8,0.68,24.338,1.862903226,844.0771694,0.000805614,0.805613544,"S4",10,0.68,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S4P4A","Amb","Drt","10_20",1360,36.52,0.259,35.63,2.437020811,1326.856517,0.000195198,0.195198197,"S4",20,0.939,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S4P6C","eT","Drt","0_10",1037.5,28.5,0.543,28.071,1.505263158,1021.882895,0.000531372,0.531372042,"S4",10,0.543,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S4P6C","eT","Drt","10_20",1335.5,32.92,0.359,32.354,1.719319563,1312.538487,0.000273516,0.273515789,"S4",20,0.902,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S5P4B","Amb","Drt","0_10",1037.9,28.77,0.903,28.28,1.703163017,1020.222871,0.000885101,0.885100722,"S5",10,0.903,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S5P4B","Amb","Drt","10_20",1338.1,46.76,0.448,45.903,1.832763045,1313.575798,0.000341054,0.341053787,"S5",20,1.351,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S5P5C","eT","Drt","0_10",951.6,33.11,0.65,32.688,1.274539414,939.4714829,0.000691878,0.691878372,"S5",10,0.65,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S5P5C","eT","Drt","10_20",1466.5,33.86,0.197,33.176,2.020082693,1436.875487,0.000137103,0.137103042,"S5",20,0.847,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S6P3C","eT","Drt","0_10",1057.8,23.5,0.717,23.13,1.574468085,1041.145277,0.000688665,0.6886647,"S6",10,0.717,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S6P3C","eT","Drt","10_20",1338,32.16,0.261,31.586,1.784825871,1314.11903,0.000198612,0.198612146,"S6",20,0.978,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S6P6C","Amb","Drt","0_10",1004.4,23.87,0.885,23.415,1.906158358,985.2545455,0.000898245,0.898245031,"S6",10,0.885,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S6P6C","Amb","Drt","10_20",1377.5,37.52,0.371,36.778,1.97761194,1350.258396,0.000274762,0.274762224,"S6",20,1.256,1.83243348744673,0.947816117296257,55.8959871131068
"PhaSub","S1P4B","eT","Con","0_10",988.1,33.38,1.286,32.355,3.070701019,957.7584032,0.001342719,1.342718577,"S1",10,1.286,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S1P4B","eT","Con","10_20",1258.9,37.39,0.532,36.208,3.161273068,1219.102733,0.000436387,0.436386521,"S1",20,1.818,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S1P6D","Amb","Con","0_10",994.1,61.66,1.095,58.392,5.300032436,941.4123776,0.001163146,1.163145956,"S1",10,1.095,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S1P6D","Amb","Con","10_20",1196.8,35.93,1.298,34.545,3.854717506,1150.666741,0.001128042,1.128041642,"S1",20,2.393,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S2P5A","Amb","Con","0_10",1083.3,29.24,0.996,27.956,4.39124487,1035.729644,0.000961641,0.961640912,"S2",10,0.996,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S2P5A","Amb","Con","10_20",1200.1,38.44,1.219,36.931,3.925598335,1152.988894,0.001057252,1.057252161,"S2",20,2.215,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S2P6C","eT","Con","0_10",973.1,29.99,1.834,28.829,3.87129043,935.4284728,0.001960599,1.960598863,"S2",10,1.834,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S2P6C","eT","Con","10_20",1290.1,33.38,0.813,32.283,3.286399041,1247.702166,0.000651598,0.651597811,"S2",20,2.647,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S3P3A","Amb","Con","0_10",1016.3,43.99,0.659,42.552,3.268924756,983.0779177,0.000670344,0.67034361,"S3",10,0.659,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S3P3A","Amb","Con","10_20",1064,40.64,0.296,39.32,3.248031496,1029.440945,0.000287535,0.287534707,"S3",20,0.955,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S3P4D","eT","Con","0_10",960.9,27.63,0.718,26.792,3.032935215,931.7565255,0.000770588,0.770587573,"S3",10,0.718,2.75276382861095,0.954830478035969,64.8125784734266
