"Date","Shelter","Plot","Subplot","Species","TotalFM","SubplotID","DateTime","Cam","GCC","R","G","B","Precipitation","Temperature","Camera","past.day.gcc","next.day.gcc","gcc.change"
2018-06-28,"4","3","C","PhaSub",1924,"S4P3C",2018-06-28,27,0.394440970558635,0.255241128247985,0.331338489316229,0.254567824157563,"Control","Elevated",27,0.383407840687285,0.340640928040151,0.0427669126471332
2018-06-28,"4","4","A","PhaSub",1455,"S4P4A",2018-06-28,28,0.354400614239096,0.28339209803945,0.329429802287328,0.310165079414182,"Drought","Ambient",28,0.34976191242905,0.316128328332888,0.0336335840961621
2018-06-28,"4","5","B","PhaSub",2776,"S4P5B",2018-06-28,29,0.391946288306069,0.248601603102745,0.324004778982601,0.250261521495383,"Control","Ambient",29,0.389625391727691,0.338296116002487,0.051329275725204
2018-06-28,"4","6","C","PhaSub",2440,"S4P6C",2018-06-28,30,0.398660545641029,0.252412532377224,0.346588252792681,0.267476912637876,"Drought","Elevated",30,0.394208241019647,0.339597942401019,0.0546102986186285
2018-06-28,"5","3","D","PhaSub",2311,"S5P3D",2018-06-28,35,0.314473561055154,0.486542276880234,0.40555213786743,0.407842348257186,"Control","Elevated",35,0.338443633786575,0.314477228989789,0.023966404796786
2018-06-28,"5","4","B","PhaSub",3081,"S5P4B",2018-06-28,36,0.347788251649749,0.415124445641221,0.408070337349644,0.354077747209975,"Drought","Ambient",36,0.394405060690144,0.348197076931467,0.0462079837586771
2018-06-28,"5","5","C","PhaSub",1832,"S5P5C",2018-06-28,37,0.335034539572908,0.407313477619924,0.399299588760329,0.388479836538422,"Drought","Elevated",37,0.369017735119401,0.337804861258687,0.0312128738607139
2018-06-28,"5","6","D","PhaSub",2344,"S5P6D",2018-06-28,38,0.346124270728153,0.402000921643074,0.401013065255345,0.355549985700393,"Control","Ambient",38,0.364314432128903,0.338635209062582,0.0256792230663212
2018-06-28,"6","3","C","PhaSub",1984,"S6P3C",2018-06-28,43,0.349057440456579,0.409026782254051,0.42101275121863,0.381912532025691,"Drought","Elevated",43,0.390275707632646,0.350626511799748,0.0396491958328983
2018-06-28,"6","4","A","PhaSub",2340,"S6P4A",2018-06-28,44,0.330091832994178,0.38535318701566,0.371589082802654,0.361811940285216,"Control","Ambient",44,0.350354611218303,0.327377828859024,0.022976782359279
2018-06-28,"6","5","B","PhaSub",2872,"S6P5B",2018-06-28,45,0.320795946529104,0.417695304862077,0.372958493798673,0.376619818169617,"Control","Elevated",45,0.355102504774416,0.323519605349602,0.0315828994248143
2018-06-28,"6","6","C","PhaSub",1798,"S6P6C",2018-06-28,46,0.373646340388645,0.405068052615367,0.454317829059505,0.356541201187309,"Drought","Ambient",46,0.411398990593826,0.372353856032997,0.0390451345608286
2018-06-29,"1","3","A","PhaSub",2590,"S1P3A",2018-06-29,3,0.335283895564658,0.361348454904211,0.333463291412557,0.293103652192308,"Drought","Ambient",3,0.369489081028605,0.334155889110879,0.0353331919177258
2018-06-29,"1","4","B","PhaSub",1259,"S1P4B",2018-06-29,4,0.330835406390953,0.393255210060486,0.371046463294303,0.356599407345537,"Control","Elevated",4,0.360889802389463,0.328810622249811,0.0320791801396521
2018-06-29,"1","5","D","PhaSub",2048,"S1P5D",2018-06-29,5,0.336848361968081,0.418455187781066,0.408646696275173,0.382967882871492,"Drought","Elevated",5,0.372480547466626,0.334157900210035,0.0383226472565912
2018-06-29,"1","6","D","PhaSub",1324,"S1P6D",2018-06-29,6,0.333602421519436,0.385383450155772,0.36957709956784,0.349182313233499,"Control","Ambient",6,0.365681567193965,0.335480890698661,0.0302006764953041
2018-06-29,"2","3","A","PhaSub",986,"S2P3A",2018-06-29,11,0.314732475697027,0.4294603935255,0.366908131215164,0.375187451405357,"Drought","Elevated",11,0.331004559057827,0.315564374656947,0.0154401844008804
2018-06-29,"2","4","B","PhaSub",2472,"S2P4B",2018-06-29,12,0.344346076976666,0.382352769315582,0.382192321552348,0.346538999024377,"Drought","Ambient",12,0.389032602574419,0.340804445143533,0.0482281574308858
2018-06-29,"2","5","A","PhaSub",702,"S2P5A",2018-06-29,13,0.325115991433096,0.379704221161216,0.345689467216403,0.339436629070535,"Control","Ambient",13,0.337063727462951,0.322610571208383,0.0144531562545671
2018-06-29,"2","6","C","PhaSub",2812,"S2P6C",2018-06-29,14,0.329277017731032,0.407502688646424,0.371150775041831,0.346910070118461,"Control","Elevated",14,0.377415220258552,0.326093995383226,0.0513212248753265
2018-06-29,"3","3","A","PhaSub",2872,"S3P3A",2018-06-29,19,0.327303707810444,0.401957229918075,0.355507575120199,0.328663115239522,"Control","Ambient",19,0.364624092552346,0.324482204732349,0.0401418878199973
2018-06-29,"3","4","D","PhaSub",1524,"S3P4D",2018-06-29,20,0.324896049391164,0.409516078015782,0.367497465637782,0.359422831765923,"Control","Elevated",20,0.350087671632622,0.321146108890223,0.0289415627423988
2018-06-29,"3","5","A","PhaSub",1705,"S3P5A",2018-06-29,21,0.31726059312248,0.39744980314507,0.364180417686017,0.389875065727025,"Drought","Elevated",21,0.349131097348362,0.317970544207259,0.0311605531411033
2018-06-29,"3","6","A","PhaSub",2550,"S3P6A",2018-06-29,22,0.333748822532227,0.369306934250946,0.349285851607028,0.328047525160239,"Drought","Ambient",22,0.367091501492879,0.327407797195529,0.0396837042973502
2018-08-16,"1","1","A","Rye",119,"S1P1A",2018-08-16,1,0.354354351497731,0.246686721269996,0.235034631140834,0.179496902246542,"Drought","Ambient",1,0.356493581637533,0.355847747730508,0.000645833907025606
2018-08-16,"1","2","B","Rye",303,"S1P2B",2018-08-16,2,0.414859324318655,0.221273432939217,0.252324531790397,0.137979850248234,"Control","Ambient",2,0.438645143324758,0.410120553382774,0.0285245899419846
2018-08-16,"2","7","D","Rye",1005,"S2P7D",2018-08-16,15,0.395567031996772,0.299340069811455,0.333956196252948,0.207439943798365,"Drought","Ambient",15,0.409305387724388,0.390250719763111,0.0190546679612774
2018-08-16,"2","8","A","Rye",644,"S2P8A",2018-08-16,16,0.372933850237887,0.221054622780583,0.225884085611408,0.15946812492193,"Control","Ambient",16,0.38975960217901,0.369297929365617,0.0204616728133924
2018-08-16,"3","1","A","Rye",495,"S3P1A",2018-08-16,17,0.356175099775183,0.23849315185136,0.23577410167337,0.186536050828951,"Control","Ambient",17,0.368703414655653,0.355261589397861,0.0134418252577918
2018-08-16,"3","2","B","Rye",1044,"S3P2B",2018-08-16,18,0.392870249535493,0.272893366333749,0.288675343922933,0.170575580083229,"Drought","Ambient",18,0.419411314918613,0.392812624374709,0.0265986905439037
2018-08-16,"4","1","B","Rye",1325,"S4P1B",2018-08-16,25,0.402379750109994,0.268861197412619,0.303765612682896,0.178905310196796,"Control","Ambient",25,0.415336221262232,0.399610535900154,0.0157256853620783
2018-08-16,"4","2","B","Rye",611,"S4P2B",2018-08-16,26,0.392762750889336,0.261928274483087,0.29178323717326,0.18730190200789,"Drought","Ambient",26,0.415484718700459,0.389053069596001,0.0264316491044581
2018-08-16,"5","7","A","Rye",1313,"S5P7A",2018-08-16,39,0.376231595970521,0.309866424249071,0.335774195415673,0.246691470880008,"Drought","Ambient",39,0.386567482557628,0.37396302905192,0.0126044535057075
2018-08-16,"5","8","A","Rye",967,"S5P8A",2018-08-16,40,0.362734768060745,0.235723605819553,0.236477489231158,0.179847795309932,"Control","Ambient",40,0.391797559798833,0.359858689190294,0.0319388706085394
2018-08-16,"6","1","C","Rye",465,"S6P1C",2018-08-16,41,0.394133407990837,0.290987091606775,0.327930433212085,0.218047939969929,"Control","Ambient",41,0.418453104390685,0.391704518489507,0.0267485859011773
